SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
Fis-23465,1028,Cheilopogon,furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Cheilopogon furcatus,LC,NA,Unknown,2015,0
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coastal fishes,Coryphaena hippurus,LC,NA,Stable,2011,0
Fis-29358,7,Coryphaena,equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coastal fishes,Coryphaena equiselis,LC,NA,Stable,2011,0
Fis-22711,35,Anguilla,anguilla,European eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Coastal fishes,Anguilla anguilla,CR,A2bd+4bd,Decreasing,2014,4
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Coastal fishes,Argyropelecus affinis,LC,NA,Unknown,2015,0
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,Coastal fishes,Melanolagus bericoides,LC,NA,Unknown,2015,0
Fis-22735,89,Acanthocybium,solandri,Wahoo,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Acanthocybium solandri,LC,NA,Stable,2011,0
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,Coastal fishes,Alepisaurus ferox,LC,NA,Unknown,2010,0
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Gasterochisma melampus,LC,NA,Unknown,2011,0
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Katsuwonus pelamis,LC,NA,Stable,2011,0
Fis-29290,130,Argyropelecus,aculeatus,Lovely hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Coastal fishes,Argyropelecus aculeatus,LC,NA,Unknown,2015,0
Fis-22832,142,Thunnus,alalunga,Albacore,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Thunnus alalunga,NT,NA,Decreasing,2011,1
Fis-22833,143,Thunnus,albacares,Yellowfin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Thunnus albacares,NT,NA,Decreasing,2011,1
Fis-22836,146,Thunnus,obesus,Bigeye tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Thunnus obesus,VU,A2bd,Decreasing,2011,2
Fis-49220,147,Thunnus,thynnus,Atlantic bluefin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Tunas & billfishes,Thunnus thynnus,EN,A2bd,Decreasing,2011,3
Fis-29447,216,Makaira,nigricans,Blue marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Tunas & billfishes,Makaira nigricans,VU,A2bd,Decreasing,2011,2
Fis-164254,217,Istiompax,indica,Black marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Tunas & billfishes,Istiompax indica,DD,NA,Unknown,2011,NA
Fis-164253,219,Kajikia,albida,Atlantic white marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Tunas & billfishes,Kajikia albida,VU,A2bd,Decreasing,2011,2
Fis-163398,223,Kajikia,audax,Striped marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Tunas & billfishes,Kajikia audax,NT,NA,Decreasing,2011,1
Fis-29576,226,Xiphias,gladius,Swordfish,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,Tunas & billfishes,Xiphias gladius,LC,NA,Decreasing,2011,0
Fis-22856,249,Centrolophus,niger,Rudderfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Coastal fishes,Centrolophus niger,LC,NA,Unknown,2015,0
Fis-22935,364,Pomatomus,saltatrix,Bluefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,Coastal fishes,Pomatomus saltatrix,VU,A2bd,Decreasing,2015,2
Fis-22970,368,Trachurus,symmetricus,Pacific jack mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Coastal fishes,Trachurus symmetricus,LC,NA,Unknown,2010,0
Fis-22852,391,Brama,brama,Atlantic pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Brama brama,LC,NA,Unknown,2015,0
Fis-29427,616,Lampanyctus,alatus,Winged lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Lampanyctus alatus,LC,NA,Unknown,2015,0
Fis-23087,621,Ceratoscopelus,maderensis,Madeira lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Ceratoscopelus maderensis,LC,NA,Unknown,2015,0
Fis-23167,623,Lampanyctus,pusillus,Pygmy lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Lampanyctus pusillus,LC,NA,Unknown,2015,0
Fis-23882,1012,Uraspis,secunda,Cottonmouth jack,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Coastal fishes,Uraspis secunda,LC,NA,Stable,2015,0
Fis-5571,1027,Cheilopogon,exsiliens,Bandwing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Cheilopogon exsiliens,LC,NA,Unknown,2015,0
Fis-50817,1033,Fodiator,acutus,Sharpchin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Fodiator acutus,LC,NA,Unknown,2015,0
Fis-23550,1035,Hirundichthys,rondeletii,Black wing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Hirundichthys rondeletii,LC,NA,Unknown,2010,0
Fis-23551,1036,Hirundichthys,speculiger,Mirrorwing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Hirundichthys speculiger,LC,NA,Unknown,2015,0
Fis-30041,1041,Gempylus,serpens,Snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,Coastal fishes,Gempylus serpens,LC,NA,Stable,2015,0
Fis-23580,1072,Lampris,guttatus,Opah,Animalia,Chordata,Actinopterygii,Lampriformes,Lampridae,Coastal fishes,Lampris guttatus,LC,NA,Unknown,2015,0
Fis-58405,1084,Scomberesox,saurus,Atlantic saury,Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,Coastal fishes,Scomberesox saurus,LC,NA,Unknown,2015,0
Fis-47983,1267,Acropoma,japonicum,Glowbelly,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,Coastal fishes,Acropoma japonicum,NA,NA,NA,NA,NA
Fis-29723,1699,Bathophilus,nigerrimus,Scaleless dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Bathophilus nigerrimus,LC,NA,Unknown,2015,0
Fis-23484,1714,Electrona,risso,Electric lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Electrona risso,LC,NA,Unknown,2015,0
Fis-23515,1716,Gonichthys,cocco,Cocco’s lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Gonichthys cocco,LC,NA,Stable,2015,0
Fis-23555,1718,Hygophum,benoiti,Benoit's lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Hygophum benoiti,LC,NA,Stable,2015,0
Fis-23556,1719,Hygophum,hygomii,Bermuda lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Hygophum hygomii,LC,NA,Unknown,2015,0
Fis-30255,1725,Luvarus,imperialis,Luvar,Animalia,Chordata,Actinopterygii,Perciformes,Luvaridae,Coastal fishes,Luvarus imperialis,LC,NA,Unknown,2015,0
Fis-23637,1731,Microstoma,microstoma,Slender argentine,Animalia,Chordata,Actinopterygii,Osmeriformes,Microstomatidae,Coastal fishes,Microstoma microstoma,LC,NA,Unknown,2015,0
Fis-23639,1732,Mola,mola,Ocean sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Coastal fishes,Mola mola,VU,A4bd,Decreasing,2015,2
Fis-23643,1734,Mora,moro,Common mora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Coastal fishes,Mora moro,LC,NA,Unknown,2015,0
Fis-23844,1737,Symbolophorus,veranyi,Large-scale lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Symbolophorus veranyi,LC,NA,Unknown,2015,0
Fis-23758,1750,Ranzania,laevis,Slender sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Coastal fishes,Ranzania laevis,LC,NA,Unknown,2015,0
Fis-30711,1772,Tetragonurus,cuvieri,Smalleye squaretail,Animalia,Chordata,Actinopterygii,Perciformes,Tetragonuridae,Coastal fishes,Tetragonurus cuvieri,LC,NA,Stable,2015,0
Fis-29880,1774,Cyclothone,braueri,Garrick,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Coastal fishes,Cyclothone braueri,LC,NA,Stable,2015,0
Fis-23454,1775,Cyclothone,microdon,Veiled anglemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Coastal fishes,Cyclothone microdon,LC,NA,Stable,2015,0
Fis-23893,1776,Zu,cristatus,Scalloped ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,Coastal fishes,Zu cristatus,LC,NA,Unknown,2015,0
Fis-23868,1777,Trachipterus,trachypterus,Mediterranean dealfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,Coastal fishes,Trachipterus trachypterus,LC,NA,Unknown,2015,0
Fis-23888,1780,Vinciguerria,attenuata,Slender lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,Coastal fishes,Vinciguerria attenuata,LC,NA,Unknown,2015,0
Fis-23889,1781,Vinciguerria,poweriae,Power's deep-water bristle-mouth fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,Coastal fishes,Vinciguerria poweriae,LC,NA,Unknown,2015,0
Fis-29801,1786,Chauliodus,sloani,Sloane's viperfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Chauliodus sloani,LC,NA,Unknown,2015,0
Fis-23604,1794,Lobianchia,dofleini,Dofleini's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Lobianchia dofleini,LC,NA,Stable,2015,0
Fis-23605,1795,Lobianchia,gemellarii,Cocco's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Lobianchia gemellarii,LC,NA,Unknown,2015,0
Fis-23502,1796,Evermannella,balbo,Balbo sabretooth,Animalia,Chordata,Actinopterygii,Aulopiformes,Evermannellidae,Coastal fishes,Evermannella balbo,LC,NA,Unknown,2015,0
Fis-30075,1799,Gonostoma,denudatum,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Coastal fishes,Gonostoma denudatum,LC,NA,Unknown,2015,0
Fis-23562,1804,Ichthyococcus,ovatus,Lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,Coastal fishes,Ichthyococcus ovatus,LC,NA,Unknown,2015,0
Fis-23839,1806,Stomias,boa boa,Boa dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Stomias boa boa,NA,NA,NA,NA,NA
Fis-23905,2005,Antimora,rostrata,Blue antimora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Coastal fishes,Antimora rostrata,LC,NA,Unknown,2015,0
Fis-30683,2047,Sudis,hyalina,NA,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Coastal fishes,Sudis hyalina,DD,NA,Unknown,2015,NA
Fis-29669,2082,Argyropelecus,gigas,Hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Coastal fishes,Argyropelecus gigas,LC,NA,Unknown,2015,0
Fis-64697,2292,Melanocetus,johnsonii,Humpback anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Melanocetidae,Coastal fishes,Melanocetus johnsonii,LC,NA,Unknown,2015,0
Fis-23904,2308,Anoplogaster,cornuta,Common fangtooth,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,Coastal fishes,Anoplogaster cornuta,LC,NA,Unknown,2015,0
Fis-47643,2727,Magnisudis,atlantica,Duckbill barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Coastal fishes,Magnisudis atlantica,LC,NA,Unknown,2015,0
Fis-29601,2728,Alepisaurus,brevirostris,Short snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,Coastal fishes,Alepisaurus brevirostris,LC,NA,Unknown,2015,0
Fis-23950,2731,Ceratoscopelus,townsendi,Dogtooth lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Ceratoscopelus townsendi,NA,NA,NA,NA,NA
Fis-24003,2733,Diogenichthys,laternatus,Diogenes lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Diogenichthys laternatus,NA,NA,NA,NA,NA
Fis-24154,2735,Notoscopelus,resplendens,Patchwork lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Notoscopelus resplendens,LC,NA,Stable,2015,0
Fis-24386,2739,Triphoturus,mexicanus,Mexican lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Triphoturus mexicanus,NA,NA,NA,NA,NA
Fis-29877,3098,Cryptopsaras,couesii,Triplewart seadevil,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,Coastal fishes,Cryptopsaras couesii,LC,NA,Unknown,2015,0
Fis-30110,3099,Himantolophus,groenlandicus,Atlantic footballfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,Coastal fishes,Himantolophus groenlandicus,LC,NA,Unknown,2015,0
Fis-29738,3100,Bregmaceros,atlanticus,Antenna codlet,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,Coastal fishes,Bregmaceros atlanticus,LC,NA,Unknown,2010,0
Fis-30014,3155,Euleptorhamphus,velox,Flying halfbeak,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Coastal fishes,Euleptorhamphus velox,LC,NA,Unknown,2015,0
Fis-30015,3156,Euleptorhamphus,viridis,Ribbon halfbeak,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Coastal fishes,Euleptorhamphus viridis,NA,NA,NA,NA,NA
Fis-24609,3260,Eumecichthys,fiski,Unicorn crestfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,Coastal fishes,Eumecichthys fiski,LC,NA,Unknown,2015,0
Fis-30248,3261,Lophotus,lacepede,Crested oarfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,Coastal fishes,Lophotus lacepede,LC,NA,Unknown,2015,0
Fis-24539,3263,Desmodema,polystictum,Polka-dot ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,Coastal fishes,Desmodema polystictum,LC,NA,Unknown,2015,0
Fis-30736,3264,Trachipterus,altivelis,King-of-the-salmon,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,Coastal fishes,Trachipterus altivelis,NA,NA,NA,NA,NA
Fis-30737,3266,Trachipterus,fukuzakii,Tapertail ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,Coastal fishes,Trachipterus fukuzakii,NA,NA,NA,NA,NA
Fis-30575,3267,Regalecus,glesne,King of herrings,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,Coastal fishes,Regalecus glesne,LC,NA,Unknown,2015,0
Fis-30682,3268,Stylephorus,chordatus,Tube-eye,Animalia,Chordata,Actinopterygii,Lampriformes,Stylephoridae,Coastal fishes,Stylephorus chordatus,LC,NA,Unknown,2015,0
Fis-24762,3277,Macroramphosus,gracilis,Slender snipefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,Coastal fishes,Macroramphosus gracilis,NA,NA,NA,NA,NA
Fis-24896,3544,Phtheirichthys,lineatus,Slender suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Coastal fishes,Phtheirichthys lineatus,LC,NA,Stable,2015,0
Fis-24929,3545,Remora,australis,Whalesucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Coastal fishes,Remora australis,LC,NA,Stable,2015,0
Fis-24930,3546,Remora,brachyptera,Spearfish remora,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Coastal fishes,Remora brachyptera,LC,NA,Stable,2010,0
Fis-24931,3547,Remora,osteochir,Marlin sucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Coastal fishes,Remora osteochir,LC,NA,Stable,2015,0
Fis-7669,3548,Remora,albescens,White suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Coastal fishes,Remora albescens,LC,NA,Unknown,2010,0
Fis-22216,3554,Brama,caribbea,Caribbean pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Brama caribbea,NA,NA,NA,NA,NA
Fis-29736,3555,Brama,japonica,Pacific pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Brama japonica,NA,NA,NA,NA,NA
Fis-30555,3558,Pterycombus,brama,Atlantic fanfish,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Pterycombus brama,LC,NA,Unknown,2015,0
Fis-30708,3559,Taractes,asper,Rough pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Taractes asper,NA,NA,NA,NA,NA
Fis-25025,3560,Taractichthys,longipinnis,Big-scale pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Coastal fishes,Taractichthys longipinnis,LC,NA,Unknown,2015,0
Fis-170414,3598,Kyphosus,ocyurus,Bluestriped chub,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Coastal fishes,Kyphosus ocyurus,NA,NA,NA,NA,NA
Fis-30341,3907,Nealotus,tripes,Black snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,Coastal fishes,Nealotus tripes,LC,NA,Stable,2015,0
Fis-30712,3915,Tetrapturus,angustirostris,Shortbill spearfish,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,Tunas & billfishes,Tetrapturus angustirostris,DD,NA,Unknown,2011,NA
Fis-30523,3925,Psenes,cyanophrys,Freckled driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,Coastal fishes,Psenes cyanophrys,LC,NA,Unknown,2015,0
Fis-30524,3926,Psenes,maculatus,Silver driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,Coastal fishes,Psenes maculatus,NA,NA,NA,NA,NA
Fis-30919,4317,Rondeletia,loricata,Redmouth whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Rondeletiidae,Coastal fishes,Rondeletia loricata,LC,NA,Unknown,2015,0
Fis-25136,4468,Symbolophorus,evermanni,Evermann's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Symbolophorus evermanni,NA,NA,NA,NA,NA
Fis-30985,4488,Myctophum,asperum,Prickly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Myctophum asperum,LC,NA,Stable,2015,0
Fis-30986,4489,Myctophum,aurolaternatum,Golden lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Myctophum aurolaternatum,NA,NA,NA,NA,NA
Fis-30987,4490,Myctophum,nitidulum,Pearly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Myctophum nitidulum,LC,NA,Stable,2015,0
Fis-25165,4520,Hygophum,reinhardtii,Reinhardt's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Hygophum reinhardtii,LC,NA,Unknown,2015,0
Fis-31001,4522,Hygophum,proximum,Firefly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Hygophum proximum,LC,NA,Unknown,2010,0
Fis-31004,4526,Eurypharynx,pelecanoides,Pelican eel,Animalia,Chordata,Actinopterygii,Saccopharyngiformes,Eurypharyngidae,Coastal fishes,Eurypharynx pelecanoides,LC,NA,Unknown,2015,0
Fis-64476,4549,Omosudis,lowii,Omosudid,Animalia,Chordata,Actinopterygii,Aulopiformes,Omosudidae,Coastal fishes,Omosudis lowii,LC,NA,Unknown,2015,0
Fis-25178,4553,Notolychnus,valdiviae,Topside lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Notolychnus valdiviae,LC,NA,Stable,2015,0
Fis-31020,4572,Ceratias,holboelli,Kroyer's deep-sea angler fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,Coastal fishes,Ceratias holboelli,LC,NA,Unknown,2015,0
Fis-31023,4577,Centrophryne,spinulosa,Horned lantern fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Centrophrynidae,Coastal fishes,Centrophryne spinulosa,LC,NA,Unknown,2015,0
Fis-31074,4723,Scopelopsis,multipunctatus,Multispotted lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Scopelopsis multipunctatus,LC,NA,Stable,2015,0
Fis-53660,4953,Cyttopsis,rosea,Rosy dory,Animalia,Chordata,Actinopterygii,Zeiformes,Parazenidae,Coastal fishes,Cyttopsis rosea,LC,NA,Stable,2015,0
Fis-31164,4958,Diretmus,argenteus,Silver spinyfin,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,Coastal fishes,Diretmus argenteus,LC,NA,Unknown,2015,0
Fis-31210,5044,Astronesthes,niger,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Astronesthes niger,LC,NA,Unknown,2015,0
Fis-31214,5049,Cubiceps,pauciradiatus,Bigeye cigarfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,Coastal fishes,Cubiceps pauciradiatus,LC,NA,Unknown,2015,0
Fis-58515,5052,Gonostoma,atlanticum,Atlantic fangjaw,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Coastal fishes,Gonostoma atlanticum,LC,NA,Stable,2015,0
Fis-31219,5056,Schedophilus,maculatus,Pelagic butterfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Coastal fishes,Schedophilus maculatus,NA,NA,NA,NA,NA
Fis-25437,5064,Xenodermichthys,copei,Bluntsnout smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Coastal fishes,Xenodermichthys copei,LC,NA,Unknown,2015,0
Fis-31234,5089,Photostomias,guernei,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Photostomias guernei,LC,NA,Unknown,2015,0
Fis-31235,5090,Searsia,koefoedi,Koefoed's searsid,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,Coastal fishes,Searsia koefoedi,LC,NA,Unknown,2015,0
Fis-7929,5097,Argyropelecus,olfersii,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Coastal fishes,Argyropelecus olfersii,NA,NA,NA,NA,NA
Fis-25456,5099,Avocettina,infans,Avocet snipe eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,Coastal fishes,Avocettina infans,LC,NA,Unknown,2015,0
Fis-31237,5101,Ectreposebastes,imus,Midwater scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Setarchidae,Coastal fishes,Ectreposebastes imus,LC,NA,Unknown,2015,0
Fis-31240,5116,Cyclothone,acclinidens,Benttooth bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Coastal fishes,Cyclothone acclinidens,LC,NA,Stable,2015,0
Fis-25469,5117,Poromitra,crassiceps,Crested bigscale,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,Coastal fishes,Poromitra crassiceps,LC,NA,Unknown,2015,0
Fis-31241,5118,Melanonus,zugmayeri,Arrowtail,Animalia,Chordata,Actinopterygii,Gadiformes,Melanonidae,Coastal fishes,Melanonus zugmayeri,LC,NA,Unknown,2015,0
Fis-31242,5119,Scopelengys,tristis,Pacific blackchin,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,Coastal fishes,Scopelengys tristis,LC,NA,Unknown,2015,0
Fis-31243,5123,Exocoetus,monocirrhus,Barbel flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Exocoetus monocirrhus,NA,NA,NA,NA,NA
Fis-31244,5124,Prognichthys,sealei,Sailor flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Coastal fishes,Prognichthys sealei,LC,NA,Unknown,2010,0
Fis-25475,5127,Coryphaenoides,armatus,Abyssal grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Coastal fishes,Coryphaenoides armatus,LC,NA,Unknown,2015,0
Fis-25477,5130,Borostomias,elucens,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Borostomias elucens,LC,NA,Unknown,2015,0
Fis-31246,5131,Astronesthes,macropogon,NA,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Coastal fishes,Astronesthes macropogon,LC,NA,Unknown,2015,0
Fis-31271,5198,Sagamichthys,abei,Shining tubeshoulder,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,Coastal fishes,Sagamichthys abei,LC,NA,Unknown,2010,0
Fis-25573,5351,Symbolophorus,californiensis,Bigfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Symbolophorus californiensis,NA,NA,NA,NA,NA
Fis-26206,6589,Benthosema,suborbitale,Smallfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Benthosema suborbitale,LC,NA,Stable,2015,0
Fis-26207,6590,Diaphus,dumerilii,NA,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Diaphus dumerilii,DD,NA,Stable,2015,NA
Fis-26208,6591,Lepidophanes,guentheri,Günther’s lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Coastal fishes,Lepidophanes guentheri,LC,NA,Stable,2015,0
Fis-26351,6963,Narcetes,stomias,Blackhead salmon,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Coastal fishes,Narcetes stomias,LC,NA,Stable,2015,0
Fis-26352,6964,Rouleina,attrita,Softskin smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,Coastal fishes,Rouleina attrita,LC,NA,Unknown,2015,0
