feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.2682600721765367
bio_vgpm,8089877.189331055,0.3190361250637333
groups05_nspp_bony.fishes,6294306.504763603,0.3000192615028867
groups05_nspp_cephalopods,194951.63803339005,0.33411589093577004
groups05_nspp_corals,23472.31507974863,0.3897829889343367
groups05_nspp_invertebrates,930079.8578908443,0.341150830955485
groups05_nspp_marine.mammals,327926.6002212763,0.31606594843383495
groups05_nspp_other,59741.58886098862,0.30001010720799
groups05_nspp_seagrasses,34.95592272281647,0.7158416204044364
groups05_nspp_sharks.n.rays,248199.37431502342,0.3359774869554331
groups05_nspp_tunas.n.billfishes,190220.41926229,0.3000291136622028
groups05_rli_bony.fishes,42309.2993953228,0.33239674208051134
groups05_rli_cephalopods,298,0.8142076502732241
groups05_rli_corals,81.85609471797943,0.7276037532892236
groups05_rli_invertebrates,59.62340497970581,0.7613887262617596
groups05_rli_marine.mammals,51033.645382881165,0.3000116617648462
groups05_rli_other,13639.021397590637,0.30002491710987317
groups05_rli_sharks.n.rays,40636.28359270096,0.3260994003513342
groups05_rli_tunas.n.billfishes,45149.786281228065,0.34584192906112604
groups05_2100_nspp_bony.fishes,5083510.108145952,0.314152705907062
groups05_2100_nspp_cephalopods,194763.71703135967,0.33442873716686916
groups05_2100_nspp_corals,63172.005098342896,0.31816607266080676
groups05_2100_nspp_invertebrates,1009128.4841322899,0.33303996594957896
groups05_2100_nspp_marine.mammals,319354.1323081255,0.30000012347595034
groups05_2100_nspp_other,59953.294154286385,0.30016256789929896
groups05_2100_nspp_seagrasses,62.26219427585602,0.8208168619263917
groups05_2100_nspp_sharks.n.rays,269866.8021427393,0.30938418236276855
groups05_2100_nspp_tunas.n.billfishes,194635.37817168236,0.31878354329264
groups05_2100_rli_bony.fishes,36975.491911649704,0.34595542919684935
groups05_2100_rli_cephalopods,304,0.7916666666666666
groups05_2100_rli_corals,1874.6373409628868,0.30034415701898953
groups05_2100_rli_invertebrates,2347.8905314207077,0.30023363100825556
groups05_2100_rli_marine.mammals,55515.04152083397,0.30001047439525946
groups05_2100_rli_other,889.7288110256195,0.6643265719082352
groups05_2100_rli_sharks.n.rays,42445.49878835678,0.3109285977258871
groups05_2100_rli_tunas.n.billfishes,47631.79972064495,0.3421045566860744
phys_seamounts_0to200m,123,0.4641509433962264
phys_seamounts_gt200to800m,4978,0.30004219154963535
phys_seamounts_gt800m,44,0.3826086956521739
phys_vents,368,0.5242165242165242
scapes_hetero,119033.73430371284,0.30000033814738314
