feature,rel_all,rel_each
fish_profit.subs,0.5226786666069021,0.5534594308478878
fish_mcp.now,0.4741722792877627,0.4895234959766769
phys_seamounts,0.46378585493060426,0.9999999999998251
phys_vents,0.3797468354430376,1.0000000000000033
phys_scape1,0.09983962103340949,0.9999999999999948
phys_scape2,0.44284456501383657,0.9947966695210012
phys_scape3,0.1015011983232294,1.0000000000000182
phys_scape4,0.5263347960566734,0.9999999999999865
phys_scape5,0.2350721723367433,0.997420565929915
phys_scape6,0.17614629506716623,0.9999999999999972
phys_scape7,0.12455487004840815,0.9999999999999994
phys_scape8,0.08659575919847508,0.9999999999999977
phys_scape9,0.4241698976407265,0.999999999999995
phys_scape10,0,1
phys_scape11,0.3500137216662723,1.0000000000000013
