feature,rel_all,rel_each
fish_profit.subs,0.2720427856268437,0.29755185427722314
fish_mcp.now,0.25310856046347474,0.2589524337337425
phys_seamounts,0.18115055079559667,0.7831940822733433
phys_vents,0.04430379746835442,1.0000000000000033
phys_scape1,2.6747293537094654e-4,0.491196814391133
phys_scape2,0.1796458112697983,0.4163745807816343
phys_scape3,0.0015396074535478576,0.6158488287870809
phys_scape4,0.14247550494531305,0.6294286229559596
phys_scape5,0.06560833382086385,0.6302334289157564
phys_scape6,0.023941348394095258,0.9999999999999972
phys_scape7,0.002075910959725193,0.9999999999999994
phys_scape8,0.005309254468625491,0.9999999999999977
phys_scape9,0.14595381598293708,0.999999999999995
phys_scape10,0,1
phys_scape11,0.09872362722895046,0.9842749653875065
