feature,rel_all,rel_each
bio_nspp,0.12166052122696441,0.18096274481274144
bio_rls,0.12217276047090958,0.18308780566928037
phys_seamounts,0.740460858921793,0.7831940822733433
phys_vents,0.7025316455696192,1.0000000000000033
phys_scape1,0.028558708657570393,0.491196814391133
phys_scape2,0.06068849822452836,0.4163745807816343
phys_scape3,0.07436594466004645,0.6158488287870809
phys_scape4,0.16808702581909254,0.6294286229559596
phys_scape5,0.18788043867488885,0.6302334289157564
phys_scape6,0.29214620800710805,0.9999999999999972
phys_scape7,0.0014499854275463221,0.9999999999999994
phys_scape8,0.2586582244956423,0.9999999999999977
phys_scape9,0.07630427490552431,0.999999999999995
phys_scape10,0.7446938706299793,1
phys_scape11,0.24141151237543365,0.9842749653875065
