feature,rel_all,rel_each
bio_nspp,0.0169959188532446,0.18096274481274144
bio_rls,0.025552396300769328,0.18308780566928037
fish_profit.subs,0.2649953231142906,0.29755185427722314
fish_mcp.now,0.25733743219127597,0.2589524337337425
fish_mcp.future,0.2572118082867259,0.2588305025817703
phys_seamounts,0.1539566813900253,0.7831940822733433
phys_vents,0.041139240506329104,1.0000000000000033
phys_scape1,2.3904326962513286e-4,0.491196814391133
phys_scape2,0.1861620661147932,0.4163745807816343
phys_scape3,0.002021303343328134,0.6158488287870809
phys_scape4,0.14390474415149393,0.6294286229559596
phys_scape5,0.0661248901803495,0.6302334289157564
phys_scape6,0.026881680294245834,0.9999999999999972
phys_scape7,0.002075910959725193,0.9999999999999994
phys_scape8,0.00502688040326312,0.9999999999999977
phys_scape9,0.17585436152524342,0.999999999999995
phys_scape10,0,1
phys_scape11,0.10146722049764183,0.9842749653875065
