feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.254167899189493
bio_vgpm,7607552.9753341675,0.3000149650811178
groups01_nspp_bivalves,15968.779625535011,0.5681464977537872
groups01_nspp_bony.fishes,6294265.340514183,0.3000172994014698
groups01_nspp_cetaceans,300301.7876185179,0.30002441864015517
groups01_nspp_chitons,1932.092387676239,0.5683718184370756
groups01_nspp_corals,27562.092744886875,0.45769813735401066
groups01_nspp_crustaceans,500835.2153338194,0.3378952608049912
groups01_nspp_echinoderms,29832.33488613367,0.36746928735120876
groups01_nspp_euphausiids,4710.650607466698,0.30006679247082013
groups01_nspp_forams,591.7733923196793,0.48138452231750994
groups01_nspp_gastropods,34795.96830803156,0.4905345808180613
groups01_nspp_hydrozoans,19587.209768533707,0.5837414883067605
groups01_nspp_non.squid.cephalopods,184842.1727026701,0.3167898861382148
groups01_nspp_other,101658.98121464252,0.34772293990404396
groups01_nspp_pinnipeds,11170.62351846695,0.30004058006823187
groups01_nspp_reptiles,7848.17109143734,0.3119691399434123
groups01_nspp_sea.spiders,76427.30074739456,0.37184133525565355
groups01_nspp_seagrasses,43.3371205329895,0.88747520218508
groups01_nspp_sharks.n.rays,242092.93081521988,0.3277114405684856
groups01_nspp_sponges,4389.911704957485,0.5773318297573921
groups01_nspp_tunas.n.billfishes,190205.64702355862,0.30000581384133934
groups01_nspp_tunicates,169578.87014764547,0.32972757925585416
groups01_nspp_worms,83454.61478424072,0.41817566496541275
groups01_rli_bivalves,33.040077328681946,0.9167593350968618
groups01_rli_bony.fishes,38472.840193748474,0.30225616877976136
groups01_rli_cetaceans,51067.18948173523,0.30002567168819544
groups01_rli_corals,106.52440202236176,0.9468757945929257
groups01_rli_echinoderms,83.3816990852356,0.8869512315336937
groups01_rli_non.squid.cephalopods,120,0.32786885245901637
groups01_rli_other,58,0.4603174603174603
groups01_rli_pinnipeds,701.7382895946503,0.3008216964263866
groups01_rli_reptiles,13623.337557077408,0.3000183680808074
groups01_rli_sharks.n.rays,37386.39831614494,0.30001961287574175
groups01_rli_tunas.n.billfishes,39166.39699089527,0.3000098872081897
phys_seamounts_0to200m,197,0.7433962264150943
phys_seamounts_gt200to800m,4980,0.3001627388343078
phys_seamounts_gt800m,83,0.7217391304347827
phys_vents,368,0.5242165242165242
scapes_hetero,119037.69941329956,0.30001033140033584
