feature,absolute_held,relative_held
_area_km2,212198694.92354414,0.2500621191504467
bio_vgpm,7607421.7551345825,0.30000979022085406
nspp_bivalves_2100,25950.13218575716,0.4718089851361507
nspp_chitons_2100,3562.4657216072083,0.4392465699338695
nspp_coastal.fishes_2100,5390795.67669785,0.33088594077431205
nspp_corals_2100,92501.35854113102,0.3406729354248214
nspp_crustaceans_2100,555377.367423892,0.33558182951825954
nspp_echinoderms_2100,47988.828414559364,0.4351878231517685
nspp_euphausiids_2100,3147.914672613144,0.6866044977116902
nspp_gastropods_2100,48309.93456673622,0.5283294191833566
nspp_hydrozoans_2100,30742.54900085926,0.37377128499732953
nspp_non.squid.cephalopods_2100,201354.86291646957,0.34378665773696193
nspp_pinnipeds_2100,15758.980269312859,0.3000088784588908
nspp_reptiles_2100,4926.509447693825,0.338582158259063
nspp_sea.spiders_2100,75177.40072703362,0.32876837369666484
nspp_seagrasses_2100,74.85394155979156,0.9868167694461631
nspp_sharks_2100,300643.0774874687,0.34285049425661696
nspp_sponges_2100,9442.030452370644,0.4283658339601042
nspp_tunas.n.billfishes_2100,185633.59567201138,0.3029538111590648
nspp_tunicates_2100,182599.21467733383,0.34091538837853314
nspp_worms_2100,48971.29060649872,0.5186253272836671
rls_bivalves_2100,103.7595386505127,1
rls_coastal.fishes_2100,54377.678784132004,0.35754244444910516
rls_corals_2100,66897.28761470318,0.3071448081925276
rls_echinoderms_2100,6584.348900556564,0.30345431493358804
rls_non.squid.cephalopods_2100,306,0.796875
rls_pinnipeds_2100,5862.831134557724,0.49214423241091193
rls_reptiles_2100,2020.7653901576996,0.8570518687378591
rls_sharks_2100,412427.6389234066,0.3328433673632071
rls_tunas.n.billfishes_2100,155736.26630318165,0.30001640610360397
fish_mcp_2050,13890.361543468165,0.30000178330022265
phys_seamounts_0to200m,147,0.5547169811320755
phys_seamounts_gt200to800m,4979,0.30010246519197153
phys_seamounts_gt800m,71,0.6173913043478261
phys_vents,702,1
scapes_hetero,119041.9242016077,0.30002097912073594
